iter	Logloss
0	0.6808808981
1	0.6691321398
2	0.6574627721
3	0.6474169179
4	0.6371376061
5	0.6282652996
6	0.6187772834
7	0.6105826652
8	0.6021424571
9	0.5941230995
10	0.5882104941
11	0.5821435756
12	0.5762697918
13	0.569615385
14	0.5640688417
15	0.5583650628
16	0.5530649686
17	0.5483298945
18	0.5435647008
19	0.538524617
20	0.5333324983
21	0.5288247421
22	0.524561602
23	0.5206719384
24	0.5173642976
25	0.51451538
26	0.5107987598
27	0.5080501139
28	0.5048640112
29	0.5014870561
30	0.4983658713
31	0.4958030278
32	0.4938407086
33	0.491421256
34	0.4890448507
35	0.4869099986
36	0.484473509
37	0.482846372
38	0.4810066589
39	0.4795725968
40	0.4778670721
41	0.4764070499
42	0.4748853005
43	0.4734432752
44	0.4723393673
45	0.471368023
46	0.4702069241
47	0.4690128568
48	0.4677105875
49	0.4665559203
50	0.4653658895
51	0.4639895981
52	0.4627090994
53	0.461650628
54	0.4607110936
55	0.4592950762
56	0.4583550076
57	0.4575213676
58	0.4569353868
59	0.4560927281
60	0.4553228269
61	0.4547133065
62	0.4540658035
63	0.4536310248
64	0.4528537891
65	0.4523343955
66	0.4514536064
67	0.450810777
68	0.4501245333
69	0.4495560141
70	0.4488879353
71	0.4484258516
72	0.4477388672
73	0.4469919965
74	0.4464861307
75	0.4462018468
76	0.4457382187
77	0.4454213808
78	0.444479951
79	0.4441516487
80	0.4432947515
81	0.4429064031
82	0.4424129472
83	0.4419627523
84	0.4413263925
85	0.4407782278
86	0.440478459
87	0.440163837
88	0.439558209
89	0.4389295801
90	0.438662558
91	0.4384070585
92	0.4380215052
93	0.437811663
94	0.4374630283
95	0.4370851497
96	0.4365842138
97	0.4363685151
98	0.4361232686
99	0.4358711858
100	0.435470133
101	0.4352233059
102	0.4349830828
103	0.4344751128
104	0.4341401391
105	0.4339088715
106	0.433582114
107	0.4333297643
108	0.4331688857
109	0.4329477929
110	0.4327885795
111	0.4325681673
112	0.4323609317
113	0.4320953469
114	0.4318610011
115	0.4316883753
116	0.4314783257
117	0.4311811187
118	0.4310563456
119	0.4309094808
120	0.4307270428
121	0.4306400869
122	0.4304608093
123	0.4303963867
124	0.4302845376
125	0.4300737455
126	0.4298664874
127	0.4297367721
128	0.4294680364
129	0.429330638
130	0.4291811406
131	0.4290020223
132	0.4288440039
133	0.4284950977
134	0.4282777146
135	0.4281224483
136	0.4279758987
137	0.4278883348
138	0.4277364786
139	0.4275616436
140	0.4274284603
141	0.4273040048
142	0.4271186993
143	0.4269008227
144	0.4266823074
145	0.4262641932
146	0.4260612682
147	0.4259462927
148	0.4257559946
149	0.4257119241
150	0.4253702273
151	0.4251946073
152	0.4250363358
153	0.4248919562
154	0.4247960772
155	0.424500442
156	0.4241844381
157	0.4240026394
158	0.4238012653
159	0.423739648
160	0.4236442754
161	0.4235534552
162	0.4234685958
163	0.4232653834
164	0.4229836088
165	0.4228638372
166	0.4227705703
167	0.4226405861
168	0.4225467297
169	0.4222171654
170	0.4219668195
171	0.4218755396
172	0.4217625739
173	0.4217032308
174	0.4216239613
175	0.421390121
176	0.4212267694
177	0.4211161078
178	0.4210298925
179	0.4209220901
180	0.4208585774
181	0.4208147493
182	0.4207463378
183	0.4206616549
184	0.4205615892
185	0.4203022055
186	0.4202421721
187	0.420183027
188	0.4201070919
189	0.4199990805
190	0.4199400719
191	0.4197798622
192	0.419635582
193	0.4194780856
194	0.4194101276
195	0.4192793802
196	0.4191897238
197	0.419056296
198	0.418980576
199	0.4188508367
200	0.4186338926
201	0.4185700689
202	0.418378562
203	0.4183387003
204	0.4181260733
205	0.417996152
206	0.417960026
207	0.4178755533
208	0.4177582059
209	0.4176841841
210	0.4175782393
211	0.4174864324
212	0.417386186
213	0.4172874815
214	0.4172160167
215	0.417156887
216	0.4170809675
217	0.4169780516
218	0.4168287468
219	0.4167426093
220	0.4166866026
221	0.4165896129
222	0.4165305921
223	0.4164207027
224	0.4162763297
225	0.4162276972
226	0.4161485246
227	0.416100312
228	0.4159317773
229	0.4157882523
230	0.4157301227
231	0.4155868817
232	0.4154055259
233	0.4153168868
234	0.4151743532
235	0.4150774752
236	0.4150029781
237	0.4149086249
238	0.4148035321
239	0.4147927423
240	0.4146981288
241	0.4146607673
242	0.4145846289
243	0.4145268499
244	0.4144829528
245	0.414400362
246	0.4143420889
247	0.4142623248
248	0.414105003
249	0.4140674596
250	0.4140018745
251	0.4139704675
252	0.4137956289
253	0.4136869826
254	0.4135886118
255	0.4134604888
256	0.4133743431
257	0.4133106241
258	0.4131697567
259	0.4131316092
260	0.4129718703
261	0.4127720707
262	0.4127304201
263	0.4126459255
264	0.4125403284
265	0.4125344101
266	0.4124318105
267	0.4123839934
268	0.4122543665
269	0.4121583171
270	0.4121036535
271	0.4120122942
272	0.4119445767
273	0.4118722663
274	0.4118500339
