iter	Passed	Remaining
0	89	89587
1	103	51548
2	118	39494
3	134	33536
4	161	32167
5	181	30058
6	203	28816
7	227	28189
8	252	27833
9	279	27675
10	301	27093
11	325	26836
12	348	26459
13	371	26170
14	393	25827
15	415	25545
16	436	25227
17	455	24868
18	481	24859
19	500	24510
20	521	24305
21	541	24082
22	564	23998
23	588	23940
24	615	23988
25	637	23897
26	658	23734
27	678	23551
28	700	23452
29	719	23250
30	740	23152
31	764	23123
32	783	22953
33	802	22804
34	828	22830
35	849	22738
36	868	22592
37	890	22551
38	912	22490
39	931	22359
40	954	22326
41	972	22192
42	990	22041
43	1010	21954
44	1028	21830
45	1057	21934
46	1086	22024
47	1119	22203
48	1154	22407
49	1179	22403
50	1207	22469
51	1235	22532
52	1259	22507
53	1291	22633
54	1320	22685
55	1348	22726
56	1392	23040
57	1417	23018
58	1445	23057
59	1473	23084
60	1502	23122
61	1521	23024
62	1542	22936
63	1559	22814
64	1580	22728
65	1598	22618
66	1619	22551
67	1636	22428
68	1652	22293
69	1672	22217
70	1693	22159
71	1717	22141
72	1733	22017
73	1752	21932
74	1768	21811
75	1786	21720
76	1801	21593
77	1818	21497
78	1836	21413
79	1848	21261
80	1860	21103
81	1872	20962
82	1883	20814
83	1896	20677
84	1907	20532
85	1927	20483
86	1945	20411
87	1960	20315
88	1978	20250
89	1994	20164
90	2010	20087
91	2025	19993
92	2039	19894
93	2060	19855
94	2076	19785
95	2096	19746
96	2114	19680
97	2131	19619
98	2147	19542
99	2162	19461
100	2173	19347
101	2187	19259
102	2198	19144
103	2208	19030
104	2218	18909
105	2228	18792
106	2237	18672
107	2247	18565
108	2261	18489
109	2272	18385
110	2285	18301
111	2300	18239
112	2312	18154
113	2327	18088
114	2337	17988
115	2353	17932
116	2365	17850
117	2378	17779
118	2390	17699
119	2405	17639
120	2415	17548
121	2427	17469
122	2438	17387
123	2448	17297
124	2463	17245
125	2475	17172
126	2487	17099
127	2500	17033
128	2510	16952
129	2524	16895
130	2538	16839
131	2552	16785
132	2567	16735
133	2581	16685
134	2594	16626
135	2605	16551
136	2618	16492
137	2627	16415
138	2641	16362
139	2654	16306
140	2667	16248
141	2681	16203
142	2693	16140
143	2710	16110
144	2720	16038
145	2734	15992
146	2746	15934
147	2758	15882
148	2774	15844
149	2782	15765
150	2794	15714
151	2808	15667
152	2817	15598
153	2831	15555
154	2845	15510
155	2857	15462
156	2872	15422
157	2882	15362
158	2896	15320
159	2907	15265
160	2921	15224
161	2935	15184
162	2948	15138
163	2964	15111
164	2980	15082
165	2991	15027
166	3002	14975
167	3018	14948
168	3030	14902
169	3045	14870
170	3056	14815
171	3069	14776
172	3083	14740
173	3095	14694
174	3112	14671
175	3124	14626
176	3139	14598
177	3148	14540
178	3159	14492
179	3173	14458
180	3184	14408
181	3194	14356
182	3204	14307
183	3215	14260
184	3228	14222
185	3239	14178
186	3253	14144
187	3262	14092
188	3273	14046
189	3287	14014
190	3298	13969
191	3309	13928
192	3320	13883
193	3331	13841
194	3344	13804
195	3354	13759
196	3365	13717
197	3379	13687
198	3388	13637
199	3397	13588
200	3412	13565
201	3421	13516
202	3433	13479
203	3447	13453
204	3459	13414
205	3473	13388
206	3482	13340
207	3493	13303
208	3509	13280
209	3519	13240
210	3530	13200
211	3543	13171
212	3555	13136
213	3568	13108
214	3577	13061
215	3586	13016
216	3599	12986
217	3610	12951
218	3622	12917
219	3636	12892
220	3645	12848
221	3658	12821
222	3671	12792
223	3682	12756
224	3697	12735
225	3705	12691
226	3718	12663
227	3731	12633
228	3744	12607
229	3754	12569
230	3766	12537
231	3775	12499
232	3790	12478
233	3802	12446
234	3816	12423
235	3826	12387
236	3837	12354
237	3849	12325
238	3860	12293
239	3872	12263
240	3880	12222
241	3892	12191
242	3906	12168
243	3914	12129
244	3926	12099
245	3939	12073
246	3950	12042
247	3962	12015
248	3977	11995
249	3990	11971
250	4002	11945
251	4015	11917
252	4024	11882
253	4034	11848
254	4046	11821
255	4058	11794
256	4069	11764
257	4083	11743
258	4092	11708
259	4102	11676
260	4116	11655
261	4127	11624
262	4137	11593
263	4151	11572
264	4162	11544
265	4168	11502
266	4182	11482
267	4193	11453
268	4204	11425
269	4214	11395
270	4223	11360
271	4235	11336
272	4248	11314
273	4258	11283
274	4270	11259
275	4279	11227
276	4290	11199
277	4305	11181
278	4314	11148
279	4326	11124
280	4336	11096
281	4346	11067
282	4357	11041
283	4369	11015
284	4381	10992
285	4392	10966
286	4399	10929
287	4408	10899
288	4422	10880
289	4432	10852
290	4447	10834
291	4456	10804
292	4467	10780
293	4481	10762
294	4491	10733
295	4501	10707
296	4512	10681
297	4524	10658
298	4538	10640
299	4547	10610
300	4558	10586
301	4572	10568
302	4581	10539
303	4591	10512
304	4601	10485
305	4613	10463
306	4626	10442
307	4637	10418
308	4647	10393
309	4658	10369
310	4670	10346
311	4680	10320
312	4692	10300
313	4705	10279
314	4716	10256
315	4727	10232
316	4738	10209
317	4750	10187
318	4761	10165
319	4771	10139
320	4783	10118
321	4793	10093
322	4804	10070
323	4818	10054
324	4829	10031
325	4843	10013
326	4852	9987
327	4863	9964
328	4877	9948
329	4889	9926
330	4904	9912
331	4914	9887
332	4926	9867
333	4941	9853
334	4953	9832
335	4963	9809
336	4975	9789
337	4988	9769
338	4998	9746
339	5011	9727
340	5023	9708
341	5035	9687
342	5046	9666
343	5056	9642
344	5067	9621
345	5080	9603
346	5090	9578
347	5102	9559
348	5115	9541
349	5126	9521
350	5136	9497
351	5148	9478
352	5160	9457
353	5170	9435
354	5180	9412
355	5190	9388
356	5201	9368
357	5216	9353
358	5227	9332
359	5240	9317
360	5250	9294
361	5261	9273
362	5276	9260
363	5286	9236
364	5296	9213
365	5311	9200
366	5325	9184
367	5340	9172
368	5351	9151
369	5363	9131
370	5373	9110
371	5382	9087
372	5395	9069
373	5407	9050
374	5417	9028
375	5432	9015
